username,followers,followings,has_biography,is_private,has_name,posts,has_profile_picture,bio_lenght,following_to_follower_ratio,following_to_post_ratio,follower_to_post_ratio,name_only_alphabet,LCSofNameAndUsername_to_name_ratio,number_in_username_ratio,is_fake
moataaazz7,75,7290,0,0,1,0,0,0,97.2,1.00E+12,1.00E+12,1,1,0.1,1
stekann.07,16,1442,0,0,1,0,0,0,90.125,1.00E+12,1.00E+12,1,0.090909091,0.2,1
scotch9067,32,1714,0,0,1,0,0,0,53.5625,1.00E+12,1.00E+12,0,1,0.4,1
kaarriimm88,34,4245,0,0,0,0,0,0,124.8529412,1.00E+12,1.00E+12,1,0,0.181818182,1
aboodjihad00,37,2590,0,0,1,0,0,0,70,1.00E+12,1.00E+12,0,1,0.166666667,1
jamila56j7,50,4004,0,0,1,0,0,0,80.08,1.00E+12,1.00E+12,0,0.666666667,0.3,1
lovewac12,45,4405,0,0,1,0,0,0,97.88888889,1.00E+12,1.00E+12,0,0.25,0.222222222,1
djalirezaaaa,33,3459,0,0,1,0,0,0,104.8181818,1.00E+12,1.00E+12,1,1,0,1
o.va3,59,7477,0,0,1,0,0,0,126.7288136,1.00E+12,1.00E+12,0,0.5,0.2,1
jony1assaf,15,1179,0,0,1,0,0,0,78.6,1.00E+12,1.00E+12,0,0.142857143,0.1,1
yrehsh879,40,5836,0,0,1,0,0,0,145.9,1.00E+12,1.00E+12,0,1,0.333333333,1
youbvc788,55,5305,0,0,1,0,0,0,96.45454545,1.00E+12,1.00E+12,0,1,0.333333333,1
nsrynn09,26,3502,0,0,1,0,0,0,134.6923077,1.00E+12,1.00E+12,0,0.888888889,0.25,1
samesame721,30,4584,0,0,1,0,0,0,152.8,1.00E+12,1.00E+12,1,1,0.272727273,1
jawedahmadi100200,80,6972,0,0,1,0,0,0,87.15,1.00E+12,1.00E+12,0,1,0.352941176,1
dbidjdidbd,29,2873,0,0,1,0,0,0,99.06896552,1.00E+12,1.00E+12,1,0,0,1
ggyydo,20,1188,0,0,1,0,0,0,59.4,1.00E+12,1.00E+12,1,0,0,1
